Data type,Name,Channel Type,Rx Frequency,Tx Frequency,Color Code,Timeslot,Contact,Contact Type, Contact Id,Rx Group,Scanlist,Zone,RX CTCSS,TX CTCSS,Power,Bandwidth,Rx Only,Squelch,Tx Admit,TOT,TOT Rekey,Tx Signaling,Rx Signaling,Privacy Group,Emergency System,Flags1,Flags2,Flags3,Flags4,RssiThreshold,VoiceEmphasis,TxSignaling,UnmuteRule,RxSignaling
CH_DATA,WX1,Analog,162.55000,162.55000,0,1,N/A,0,N/A,None,WX,WEATHER,None,None,High,25,Yes,Normal,0,0,5,0,0,0,0,0,0,0,135,-80,0,0,0,0,22
CH_DATA,FRS 01,Analog,462.56250,462.56250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 02,Analog,462.58750,462.58750,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 03,Analog,462.61250,462.61250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 04,Analog,462.63750,462.63750,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 05,Analog,462.66250,462.66250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 06,Analog,462.68750,462.68750,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 07,Analog,462.71250,462.71250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 08,Analog,467.56250,467.56250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 09,Analog,467.58750,467.58750,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 10,Analog,467.61250,467.61250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 11,Analog,467.63750,467.63750,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 12,Analog,467.66250,467.66250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 13,Analog,467.68750,467.68750,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 14,Analog,467.71250,467.71250,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 15,Analog,462.55000,462.55000,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 16,Analog,462.57500,462.57500,0,1,N/A,0,N/A,None,FRS 1,FRS1,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 17,Analog,462.60000,462.60000,0,1,N/A,0,N/A,None,FRS 2,FRS2,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 18,Analog,462.62500,462.62500,0,1,N/A,0,N/A,None,FRS 2,FRS2,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 19,Analog,462.65000,462.65000,0,1,N/A,0,N/A,None,FRS 2,FRS2,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 20,Analog,462.67500,462.67500,0,1,N/A,0,N/A,None,FRS 2,FRS2,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 21,Analog,462.70000,462.70000,0,1,N/A,0,N/A,None,FRS 2,FRS2,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,FRS 22,Analog,462.72500,462.72500,0,1,N/A,0,N/A,None,FRS 2,FRS2,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,GMRS 01,Analog,462.56250,462.56250,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 02,Analog,462.58750,462.58750,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 03,Analog,462.61250,462.61250,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 04,Analog,462.63750,462.63750,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,Low,25,No,Normal,0,0,5,0,0,0,0,0,0,0,3,-80,0,0,0,0,22
CH_DATA,GMRS 05,Analog,462.66250,462.66250,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 06,Analog,462.68750,462.68750,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 07,Analog,462.71250,462.71250,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 08,Analog,462.55000,462.55000,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 09,Analog,462.57500,462.57500,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 10,Analog,462.60000,462.60000,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 11,Analog,462.62500,462.62500,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 12,Analog,462.65000,462.65000,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 13,Analog,462.67500,462.67500,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 14,Analog,462.70000,462.70000,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,GMRS 15,Analog,462.72500,462.72500,0,1,N/A,0,N/A,None,GMRS,GMRS,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,BARC DMR NE,Digital,449.17500,444.17500,1,1,N/A,0,N/A,New England,None,BOS DMR,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Acton PD,Analog,154.81500,154.81500,0,1,N/A,0,N/A,None,FRS 1,Middlsx Police,173.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MURS 1,Analog,151.82000,151.82000,0,1,N/A,0,N/A,None,None,MURS,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,MURS 2,Analog,151.88000,151.88000,0,1,N/A,0,N/A,None,None,MURS,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,MURS 3,Analog,151.94000,151.94000,0,1,N/A,0,N/A,None,None,MURS,None,None,Low,12.5,No,Normal,0,0,5,0,0,0,0,0,0,0,1,-80,0,0,0,0,22
CH_DATA,MURS 4,Analog,154.57000,154.57000,0,1,N/A,0,N/A,None,None,MURS,None,None,Low,25,No,Normal,0,0,5,0,0,0,0,0,0,0,3,-80,0,0,0,0,22
CH_DATA,MURS 5,Analog,154.60000,154.60000,0,1,N/A,0,N/A,None,None,MURS,None,None,Low,25,No,Normal,0,0,5,0,0,0,0,0,0,0,3,-80,0,0,0,0,22
CH_DATA,Arlington PD,Analog,471.16300,471.16300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Ashby PD,Analog,453.68800,453.68800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,91.5,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Ashland PD,Analog,483.11300,483.11300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,123.0,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Ayer PD,Analog,158.79000,158.79000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,151.4,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Belmont PD,Analog,471.41300,471.41300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,2M Calling,Analog,146.52500,146.52500,0,1,N/A,0,N/A,None,BOS HAM,Natl Calling,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,70CM Calling,Analog,466.00000,466.00000,0,1,N/A,0,N/A,None,BOS HAM,Natl Calling,None,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Billerica PD,Analog,484.02500,484.02500,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Boxboro PD,Analog,155.64800,155.64800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,136.5,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Burlington PD,Analog,482.48800,482.48800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Cambridge PD,Analog,470.31300,470.31300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Chelmsford PD,Analog,482.51300,482.51300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Concord PD,Analog,482.33800,482.33800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Dracut PD,Analog,482.88800,482.88800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Dunstable PD,Analog,155.58000,155.58000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,94.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,KA1UAG 1,Analog,146.95500,145.35500,0,1,N/A,0,N/A,None,None,None,131.8,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,KA1UAG 2,Analog,146.73000,146.13000,0,1,N/A,0,N/A,None,None,None,131.8,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
